## Scenario Sensitivity

| Scenario | EVE (₹ Cr) | ΔEVE (% Equity) | NII (₹ Cr) | ΔNII (% Base NII) | Duration of Equity |
|---|---:|---:|---:|---:|---:|
| Parallel Up (+250bp) | 6,985 | -55.0% | 3,291 | 15.6% | 19.26 |
| Parallel Down (-250bp) | 22,490 | 74.2% | 2,401 | -15.6% | 34.55 |
| Steepener | 10,898 | -22.3% | 2,868 | 0.8% | 22.91 |
| Flattener | 16,610 | 25.3% | 2,824 | -0.8% | 28.77 |
| Short Rate Up (+300bp) | 13,419 | -1.3% | 3,005 | 5.6% | 25.62 |
| Short Rate Down (-300bp) | 13,746 | 1.4% | 2,687 | -5.6% | 25.68 |
